accession	type	adm1	adm2	adm3	adm4	x	y	year_charac	select	from_gps	elev_mean	elev_median
222500	farmer variety	Amhara	MISRAK GOJAM	GUZAMN	NA	NA	NA	1986	FALSE	TRUE	NA	NA
222530	farmer variety	Amhara	SEMEN GONDAR	GONDAR ZURIA	NA	37.4	12.55	1986	FALSE	TRUE	843.7166667	843
222541	farmer variety	Amhara	DEBUB GONDAR	FARTA	NA	38.21888889	11.80833333	1986	TRUE	TRUE	1685.566667	1674.5
222542	farmer variety	Amhara	DEBUB GONDAR	FARTA	NA	38.21888889	11.80833333	1986	TRUE	TRUE	1685.566667	1674.5
222554	farmer variety	Oromia	ARSSI	SHERKA	NA	39.5	7.633333	1986	TRUE	TRUE	1051.666667	1054.5
222578	farmer variety	Oromia	MISRAK HARERGE	KERSA	NA	41.8	9.466667	1986	FALSE	TRUE	708.7166667	709
222623	farmer variety	Amhara	DEBUB GONDAR	LAY GAYINT	NA	38.533333	11.633333	1986	FALSE	TRUE	1364.216667	1380.5
222641	farmer variety	Amhara	DEBUB GONDAR	TACH GAYINT	NA	38.533333	11.633333	1986	FALSE	TRUE	1364.216667	1380.5
222655	farmer variety	Amhara	DEBUB GONDAR	LAY GAYINT	NA	NA	NA	1986	FALSE	TRUE	NA	NA
222660	farmer variety	Amhara	DEBUB GONDAR	TACH GAYINT	NA	NA	NA	1986	FALSE	TRUE	NA	NA
222666	farmer variety	Amhara	DEBUB GONDAR	TACH GAYINT	NA	NA	NA	1986	FALSE	TRUE	NA	NA
222682	farmer variety	Amhara	DEBUB WELLO	DESSIE ZURIA	NA	39.566667	11.25	1986	FALSE	TRUE	1471.95	1439.5
222727	farmer variety	NA	NA	NA	NA	NA	NA	1986	FALSE	TRUE	NA	NA
222730	farmer variety	Amhara	SEMEN SHEWA	MAFUDMEZEZO MOJANA	NA	39.766667	9.833333	1986	FALSE	TRUE	1114.616667	1121.5
222736	farmer variety	Amhara	SEMEN SHEWA	KEWET	NA	NA	NA	1986	FALSE	TRUE	NA	NA
222752	farmer variety	Amhara	MISRAK GOJAM	ENEMAY	NA	38.166667	10.533333	1986	FALSE	TRUE	1235.083333	1235
222780	farmer variety	SNNP	KEMBATA ALABANA TEMB	ANGACHA	NA	37.7	7.333333	1986	FALSE	TRUE	1191.3	1201.5
222786	farmer variety	Oromia	SEMEN SHEWA	WARA JARSO	NA	NA	NA	1986	FALSE	TRUE	NA	NA
222805	farmer variety	Oromia	BALE	GORO	NA	NA	NA	1986	FALSE	TRUE	NA	NA
222806	farmer variety	Oromia	BALE	GORO	NA	NA	NA	1986	FALSE	TRUE	NA	NA
222811	farmer variety	Amhara	DEBUB WELLO	WERE ILU	NA	NA	NA	1986	FALSE	TRUE	NA	NA
222813	farmer variety	Amhara	DEBUB WELLO	WERE ILU	NA	NA	NA	1986	FALSE	TRUE	NA	NA
222841	farmer variety	Amhara	SEMEN GONDAR	DEBARK	NA	NA	NA	1986	FALSE	TRUE	NA	NA
222854	farmer variety	Amhara	DEBUB WELLO	DEBRESINA	NA	37.14305556	9.711111111	1986	TRUE	TRUE	1236.322581	1255.5
222855	farmer variety	Amhara	DEBUB WELLO	DEBRESINA	NA	NA	NA	1986	FALSE	TRUE	NA	NA
222856	farmer variety	Amhara	DEBUB WELLO	DEBRESINA	NA	NA	NA	1986	FALSE	TRUE	NA	NA
222858	farmer variety	Amhara	SEMEN SHEWA	HAGEREMARIAMINA KESE	NA	NA	NA	1986	FALSE	TRUE	NA	NA
222859	farmer variety	Amhara	SEMEN SHEWA	HAGEREMARIAM KESE	NA	39.92083333	9.460833333	1986	TRUE	TRUE	149.8965517	150.5
223257	farmer variety	Tigray	DEBUBAWI	ALAJE	3 km South of Adishihu to Maychew	39.466667	13.683333	1991	FALSE	TRUE	745.0333333	783.5
225844	farmer variety	SNNP	SEMEN OMO	BONKE	Ocha 5km, North of Gerese	NA	NA	1991	FALSE	TRUE	NA	NA
226094	farmer variety	Amhara	DEBUB WELLO	DEBRESINA	Debresay 4km, North West of Mekane Selam town	38.733333	10.766667	1991	FALSE	TRUE	1251.9	1244
226157	farmer variety	Oromia	MISRAK SHEWA	ADA'A CHUKALA	NA	38.933333	8.783333	1987	TRUE	TRUE	626.8833333	627
226178	farmer variety	Oromia	MISRAK HARERGE	KERSA	NA	41.683333	9.416667	1987	FALSE	TRUE	1059.183333	1055
226191	farmer variety	Oromia	MIRAB  HARERGE	KUNI	NA	40.883333	9	1987	FALSE	TRUE	1106.916667	1108
226192	farmer variety	Oromia	MIRAB  HARERGE	KUNI	NA	40.883333	9	1987	FALSE	TRUE	1106.916667	1108
226207	farmer variety	Amhara	SEMEN GONDAR	GONDAR ZURIA	NA	37.466667	12.633333	1987	FALSE	TRUE	1017.483333	1004
226221	farmer variety	NA	NA	NA	NA	NA	NA	1992	FALSE	TRUE	NA	NA
226273	farmer variety	Oromia	ARSSI	SHERKA	NA	39.483333	7.616667	1987	FALSE	TRUE	1120.416667	1121
226356	farmer variety	Oromia	ARSSI	TENA	NA	39.583333	7.833333	1992	FALSE	TRUE	1106.65	1103
226357	farmer variety	Oromia	ARSSI	TENA	NA	39.583333	7.833333	1987	FALSE	TRUE	1106.65	1103
226363	farmer variety	Oromia	ARSSI	GEDEB	NA	39.2	7.166667	1987	FALSE	TRUE	1136.95	1138.5
226371	farmer variety	Oromia	MIRAB SHEWA	AMBO	NA	37.95	8.966667	1987	FALSE	TRUE	1091.55	1087
226393	farmer variety	Oromia	MISRAK SHEWA	AKAKI	NA	38.85	8.866667	1987	FALSE	TRUE	915.3166667	915.5
226535	farmer variety	NA	NA	NA	NA	NA	NA	1987	TRUE	TRUE	NA	NA
226825	farmer variety	Oromia	BALE	AGARFA	NA	39.75	7.333333	1987	FALSE	TRUE	1212.516667	1228.5
226826	farmer variety	Oromia	BALE	AGARFA	NA	39.75	7.333333	1987	FALSE	TRUE	1212.516667	1228.5
226839	farmer variety	Amhara	MISRAK GOJAM	ENEMAY	NA	38.4	10.5	1987	FALSE	TRUE	1060.65	1081
226840	farmer variety	Amhara	MISRAK GOJAM	ENEMAY	NA	38.4	10.5	1987	FALSE	TRUE	1060.65	1081
226876	farmer variety	Oromia	MIRAB SHEWA	META ROBI	NA	39.266667	9.4	1987	FALSE	TRUE	1530.7	1528
226887	farmer variety	Oromia	MIRAB SHEWA	META ROBI	NA	39.25	9.45	1987	FALSE	TRUE	1464.383333	1463
226894	farmer variety	Oromia	SEMEN SHEWA	GERAR JARSO	NA	38.716667	9.733333	1987	FALSE	TRUE	1437.083333	1434.5
226922	farmer variety	SNNP	SEMEN OMO	BOREDA ABAYA	NA	37.75	6.516667	1987	FALSE	TRUE	196.9166667	189.5
226928	farmer variety	Oromia	ARSSI	KOFELE	NA	38.933333	7.016667	1987	FALSE	TRUE	1266.6	1268.5
226951	farmer variety	Amhara	DEBUB GONDAR	TACH GAYINT	NA	38.333333	11.666667	1987	FALSE	TRUE	1288.366667	1286
226973	farmer variety	Oromia	ARSSI	ROBE	NA	39.616667	7.883333	1987	TRUE	TRUE	1132.233333	1131.5
227009	farmer variety	Oromia	ARSSI	SHERKA	NA	39.916667	8.316667	1987	FALSE	TRUE	1598.25	1601
227029	farmer variety	Oromia	BORENA	YABELO	NA	NA	NA	1987	FALSE	TRUE	NA	NA
227058	farmer variety	Oromia	BALE	SINANANA DINSHO	NA	NA	NA	1987	FALSE	TRUE	NA	NA
227061	farmer variety	Oromia	BALE	GASERANA GOLOLCHA	NA	40.06527778	8.140833333	1987	TRUE	TRUE	570.7258065	555.5
227063	farmer variety	SNNP	HADIYA	SORO	NA	NA	NA	1987	FALSE	TRUE	NA	NA
227066	farmer variety	NA	NA	NA	NA	NA	NA	1987	FALSE	TRUE	NA	NA
227298	farmer variety	NA	NA	NA	NA	NA	NA	1993	FALSE	TRUE	NA	NA
227314	farmer variety	NA	NA	NA	NA	NA	NA	1993	TRUE	TRUE	NA	NA
227317	farmer variety	NA	NA	NA	NA	NA	NA	1993	FALSE	TRUE	NA	NA
227542	farmer variety	NA	NA	NA	NA	NA	NA	NA	TRUE	TRUE	NA	NA
228135	farmer variety	SNNP	SEMEN OMO	SODO ZURIA	Kikate Marachre	NA	NA	1993	FALSE	TRUE	NA	NA
228593	farmer variety	Amhara	MISRAK GOJAM	SHEBEL BERENTA	Goy Birbegn	NA	NA	1993	FALSE	TRUE	NA	NA
228600	farmer variety	Amhara	MISRAK GOJAM	AWABEL	Arera	NA	NA	1993	TRUE	TRUE	NA	NA
228753	farmer variety	Oromia	MIRAB SHEWA	DENDI	Yimura Meti	38.03305556	8.817777778	1993	TRUE	TRUE	1654.694915	1675
228762	farmer variety	Oromia	MIRAB SHEWA	AMBO	Bicho	NA	NA	1993	FALSE	TRUE	NA	NA
