,ID,DNA_CODE,SPECIES,TYPE,DB.2012,DB.2012.geregera,DB.2012.hagreselam,DB.2013,DB.2013.geregera,DB.2013.hagreselam,DF.2012,DF.2012.geregera,DF.2012.hagreselam,DF.2013,DF.2013.geregera,DF.2013.hagreselam,DM.2012,DM.2012.geregera,DM.2012.hagreselam,DM.2013,DM.2013.geregera,DM.2013.hagreselam,PH.2012,PH.2012.geregera,PH.2012.hagreselam,PH.2013,PH.2013.geregera,PH.2013.hagreselam,NET.2012,NET.2012.geregera,NET.2012.hagreselam,NET.2013,NET.2013.geregera,NET.2013.hagreselam,SPL.2012,SPL.2012.geregera,SPL.2012.hagreselam,SPL.2013,SPL.2013.geregera,SPL.2013.hagreselam,SPS.2012,SPS.2012.geregera,SPS.2012.hagreselam,SPS.2013,SPS.2013.geregera,SPS.2013.hagreselam,BM.2012,BM.2012.geregera,BM.2012.hagreselam,BM.2013,BM.2013.geregera,BM.2013.hagreselam,GY.2012,GY.2012.geregera,GY.2012.hagreselam,GY.2013,GY.2013.geregera,GY.2013.hagreselam,TGW.2012,TGW.2012.geregera,TGW.2012.hagreselam,TGW.2013,TGW.2013.geregera,TGW.2013.hagreselam,EARLINESS.M.2012,EARLINESS.M.2012.geregera,EARLINESS.M.2012.hagreselam,EARLINESS.F.2012,EARLINESS.F.2012.geregera,EARLINESS.F.2012.hagreselam,EARLINESS..2012,EARLINESS..2012.geregera,EARLINESS..2012.hagreselam,OVERALL.M.2012,OVERALL.M.2012.geregera,OVERALL.M.2012.hagreselam,OVERALL.F.2012,OVERALL.F.2012.geregera,OVERALL.F.2012.hagreselam,OVERALL..2012,OVERALL..2012.geregera,OVERALL..2012.hagreselam,SPIKE.M.2012,SPIKE.M.2012.geregera,SPIKE.M.2012.hagreselam,SPIKE.F.2012,SPIKE.F.2012.geregera,SPIKE.F.2012.hagreselam,SPIKE..2012,SPIKE..2012.geregera,SPIKE..2012.hagreselam,TILLER.M.2012,TILLER.M.2012.geregera,TILLER.M.2012.hagreselam,TILLER.F.2012,TILLER.F.2012.geregera,TILLER.F.2012.hagreselam,TILLER..2012,TILLER..2012.geregera,TILLER..2012.hagreselam
1,202012,499NET_D,durum_wheat,landrace,-0.0620180000813992,-0.103297770619252,-0.0178253990006431,-0.0128706323466481,-0.00207400610095125,-0.0251282283939727,-0.143759524787853,-0.29618450298506,0.0102642594763317,0.0757599125585703,-0.0147467334515379,0.1835514260415,-0.0632511135380413,-0.0256710678993913,-0.0896262929875325,-0.17511530695537,-0.184932018795944,-0.320066339865877,-0.137998873924412,-0.55012806984525,0.290775497342559,-0.129263544384404,-0.903125069871404,0.585806150844441,-0.0360742614891733,-0.0539795285701327,-0.00494258508532096,0.0611670318522659,-0.233521208202523,5.32292081505678e-07,-0.662183434526567,-1.22481860935019,-0.102063809372895,-0.481754122211864,-1.34298553840272,0.0483059691221119,0.322957780398347,0.144622144217197,0.301599254516061,0.0810141810946309,0.220236315511341,-0.0565174478239508,-0.41334120794064,-0.506504506721094,-0.0315441450895587,-0.783048329049984,-0.0379050630391248,-1.64568920315154,-0.114804124664899,-0.295112159557184,0.0561755256131824,-0.307902157832322,-0.0675378368662615,-0.48210591516119,-0.150702823023576,-0.262251343832304,-0.016262342604805,-0.500091027389392,-0.558953075475332,-0.434750201069991,0.552618158940913,0.664576754866785,0.658793471898503,0.471202504430837,0.60077837629767,0.653511399590796,0.524968912949378,0.64182011317082,0.652057563119085,0.214805633433796,0.178552665749141,0.377647925751141,0.119070542866531,0.376671233238518,0.0405691680618841,0.177527896094538,0.27919647800066,0.196788769846051,0.214211021024094,0.0756617656675168,0.427456310319644,0.0920386237949084,0.291783420526419,-0.026459861730712,0.147748473549661,0.183017580584101,0.179389533044622,0.00791751126299677,-0.164448072209367,0.188033721248879,0.0207615010684207,-0.0253092813874364,0.0884636482581199,0.0116065629556621,-0.101874733867392,0.136055863946898
2,202458,420ET_D,durum_wheat,landrace,0.106756673395775,0.185026592917994,0.0232170478758313,0.194783061182068,0.136193067284386,0.268525085009523,0.0552614292080352,0.178898427196119,-0.0678697144133908,0.267985697508447,0.128251893958213,0.434649776865699,-0.128822588560628,-0.0907013386954014,-0.148314681226795,-0.019772499260492,-0.157463467916466,0.0646526901836582,0.140899083923639,-0.383095058244653,0.565125191905915,0.154654216766769,0.256061822866646,0.0342847907786104,-0.0587495011956935,0.0904753483088041,-0.0705806423058718,0.126399029486989,0.270254881402939,2.58594071241399e-07,-0.293465506205781,0.241766517003244,-0.619893426765432,0.0940285674719843,0.101372539146595,0.0276407310287118,-0.202781675795205,-0.0235348649427726,-0.261801053014314,0.0869353163279457,0.0654604975212369,0.15969023856863,-0.603140436935469,-0.221324211551116,-0.502183180040931,-0.448742293100255,-0.0245523327743516,-0.877812272954872,-0.296767306218455,-0.216498856205854,-0.193096857349459,-0.217290329797874,-0.0608206647819611,-0.292580158446251,-0.285357015457613,-0.204201377190257,-0.290706738183429,-0.23900499509254,-0.304059293937627,-0.172700454223293,0.137485939991186,0.0938353565257461,0.236045830828991,0.205196524767802,0.128962181417786,0.413275023160646,0.177199614221055,0.110989264769315,0.324841840208763,-0.629322219365211,-0.808695597501245,-0.818569483015636,-0.235612310012523,-0.558049689393773,-0.253911177230281,-0.457749521343997,-0.708942553192379,-0.518112354021517,-0.679846485262756,-0.698406807869491,-0.901377478148122,-0.335565612668844,-0.614691964105208,-0.327796952816857,-0.52452582666326,-0.675425958841941,-0.612031659804398,-0.360417418226873,-0.424291716528992,-0.690434696446891,-0.217417652358971,-0.45391149544141,-0.238323882651222,-0.296055800047032,-0.453033676061686,-0.466539799573305
3,203889,490NET_D,durum_wheat,landrace,-0.23079267355857,0.0202698137538531,-0.469292314641848,-0.22052432587537,-0.209474616178956,-0.234880595110756,-0.143759524787851,-0.05864303789447,-0.224137662192837,-0.174133607876265,-0.229244674566165,-0.109396649920064,0.0678918365071264,0.299480286080659,-0.148314681226796,-0.21395100887909,-0.5969602819881,-0.117582639839806,0.427765557681883,0.097960015165067,0.565125194039747,0.0413115529993219,-0.333138144712915,0.367099404424539,-0.0176506292302826,-0.0860806123210076,0.0184995782017049,-0.019932208421773,0.0393575070004353,-1.32403086295756e-07,-0.793422019160873,-0.916063845907364,-0.525742587316549,-0.239319305508856,-0.326585409756908,-0.0550202211589015,0.238094324982887,0.251258296367421,0.0674588671477161,0.0330529859445865,0.0577217066217317,0.0183236743600807,-0.250656154590873,-0.506504506721094,0.15671146889099,0.0765957633921774,0.00215312775519476,0.197215429320461,0.00450692224219916,-0.10633877234918,0.0708456933705662,-0.181641866348332,-0.0729767149222213,-0.164405313974999,-0.119216066496155,0.113929609435057,-0.299208084204491,-0.314692915673798,-0.464838448446026,-0.16625802950109,0.49779269886162,0.392795136609148,0.800176497055539,0.342392097746124,0.389922262393262,0.52004674601849,0.43534646525756,0.395666655091964,0.676294163521798,0.169417388864007,0.205235051242394,0.233422342888155,0.176877987438395,0.448364893331713,0.16326931193362,0.197106806776771,0.323970124952445,0.205558518210692,0.120750074285593,0.129045805221793,0.155481354659913,0.263737439856324,0.544879733652548,0.199542956583897,0.209204910193326,0.327960418371347,0.187828186244337,0.013345606931986,-0.164448072209367,0.20316743400679,0.0924362448761209,-0.0838894855296305,0.364976174412178,0.0548786993724647,-0.132011814434416,0.298451441039555
4,204353,018ET_D,durum_wheat,landrace,0.254434512688301,0.102648203335924,0.392599069764091,0.119272627171624,0.274460140669722,-0.067078701737329,0.154771906205975,-0.0190527937127044,0.322800155035223,0.0949824910535582,0.164001550810651,0.0161525254920354,-0.0140725072711042,-0.123216474093407,0.086438871730259,-0.190649587724858,-0.294806222313852,-0.279569599860663,-1.41694523047713,-0.924282015830589,-1.32483938412204,-0.690365837311234,-0.58290769618686,-0.650362415715508,-0.0162334267193954,0.010222638931617,-0.0143194503945052,-0.0851642060564962,-0.0446051746004749,-3.27901665122983e-07,-0.562192131823057,-0.76168646418595,-0.290365488270661,-0.216591041325756,-0.00561694807928144,-0.117015935253115,-0.276261009180601,-0.298328026252966,-0.0715619880854646,-0.0747116747333144,-0.131878670416146,-0.0398860872554537,-0.250656154590872,-0.078734063795019,-0.219799759070108,0.506417809613258,0.0689167790790607,0.0436400432811274,-0.29466923789006,-0.224615130602598,-0.185759291281628,0.162517634785975,0.0873423345161273,0.0670809782101864,-0.369442632609783,-0.329662270277861,-0.318063947203922,0.112976415540491,-0.0923013831216879,0.305661054352343,0.0269158872153956,0.284082489306092,-0.220466461877691,-0.199159066236278,0.135377094183016,-0.654442205417794,-0.0923899589436954,0.21860479480508,-0.443447454991808,-0.637624223279624,-0.915425139474259,-0.73657645080361,-0.238045969882289,-0.566274685570779,-0.253911177230281,-0.472816767363142,-0.768154341137485,-0.501717375621626,-0.69920208877029,-0.938634985863735,-0.714315110156108,-0.238722165736687,-0.470030369422941,-0.202239831530963,-0.486861267858613,-0.735358946612044,-0.463961300590038,-0.271007809051722,-0.60618226755273,-0.236832500068949,-0.167769066206759,-0.39831162660011,-0.137773873140655,-0.230283380247276,-0.526186554320927,-0.192838655348736
5,204470b,201ET_D,durum_wheat,landrace,0.718564864750526,0.92643209915663,0.474683963517037,0.855499358773447,0.654694592479399,1.10753455187665,0.692128481994873,0.73316184574083,0.635336050594115,0.883108209348043,0.771745717302091,1.02054592878883,0.133463311529712,0.10438947369263,0.145127259969523,0.166638869973363,0.309501897034645,0.206391280201909,-0.123389933268587,-0.236106008036128,0.0265869004214348,-0.18930148918841,-0.14741206797588,-0.189176450227905,0.165168491017799,0.0583742645579294,0.0888260680909132,-0.101031448722258,-0.00262383380001986,-4.4520081239586e-07,-0.137229095989341,-0.144176937300292,-0.102063809372896,0.158425315706664,0.475835744437158,-0.0240223640807971,-0.237968962126401,-0.281922464383701,-0.0349775524631264,-0.0131318686443449,-0.00418862057431007,-0.0315704070959404,0.345855707648228,0.0638560837899702,0.344967082871539,0.26762778393488,0.0155058580199679,0.504366201399127,0.0199872486915736,-0.127429514257645,0.100968638148568,0.285897777107804,0.0744660236186395,0.404927696221007,-0.246419254298778,-0.244928632942678,-0.190023891315456,-0.327265788709257,-0.339352279073617,-0.309540342521697,-0.67625899564281,-0.911756631027514,-0.707006599249151,-0.299851489239582,-0.686538071630573,-0.120583591128574,-0.495083471123989,-0.817958008915119,-0.403956815364226,-0.377105161289066,-0.782013212007991,-0.191330121296451,-0.14141430195915,-0.652401056524287,0.138729283159273,-0.27476969434784,-0.738454343996517,-0.00521558510100358,-0.424061782895874,-0.778482867200906,-0.221509028234381,-0.183168946673715,-0.552012412875059,0.0237629867836454,-0.316629592279983,-0.690181640859783,-0.0940105153941305,-0.0636384520378903,-0.112479343345442,-0.0845944083808428,-0.0435586787462622,-0.392241160456114,0.23928866252397,-0.0491923297103075,-0.248747036844332,0.0930133165525976
6,204488,019ET_D,durum_wheat,landrace,-0.125308502635338,-0.0621085758282179,-0.181995186506535,-0.0128706323466495,-0.0020740061009514,-0.0251282283939727,-0.0840532385890871,-0.0982332820762355,-0.0678697144133915,-0.251023921856215,-0.121995704008851,-0.402344725881629,-0.0632511135380413,0.10438947369263,-0.20700306946606,-0.128512464646906,-0.349743324072806,-0.0770858998345908,-0.192450380983163,0.00442152866873324,-0.298568296680229,-0.504079875929576,-0.442012051765661,-0.460182636244747,-0.0445774763844328,0.010222638931617,-0.0330731810410043,-0.104557502639167,-0.08658651540093,-3.67001380841509e-07,-0.493448111237832,-1.07044122762878,0.0391624502241077,-0.762069379106397,-1.28949079478979,-0.11701593531511,0.152195949171186,0.144622144217196,0.0601419798915446,-0.106685804922161,-0.104792902267878,-0.164621291144976,-0.115085276756016,0.634216674472143,-0.69043879402148,-0.329347280261066,-0.0111996025095784,-0.801024579935205,-0.0435851801661534,0.108097733335366,-0.11492488772041,-0.195864225609649,0.0199301800179614,-0.534548946713358,-0.339861377173871,-0.148512037183369,-0.430465196290639,-0.109952634019108,-0.217787552494096,-0.00549836515295893,0.668143740495254,0.392795136609148,1.21161731022017,0.296703974221214,0.263933998953367,0.522518333471313,0.475116849606124,0.33633098162887,0.833094719831229,0.281813156594472,0.97902423054675,-0.254549904301739,0.28699539720133,1.05722430602432,-0.0402070970395806,0.331186759676933,1.03884047945381,-0.140575641166508,0.278555871322353,0.662886200764557,-0.00518724871637251,0.270612994545519,0.940591485698567,-0.156720396141815,0.288187567245662,0.813656572503538,-0.0968282702810397,0.227170992574256,0.485161038589697,0.218325735652181,0.153615485684182,0.497482960778166,-0.00184674880153901,0.194534559130491,0.507784898394304,0.0995260748213497
7,204493a,202ET_D,durum_wheat,landrace,-0.209695839373924,-0.268054549783394,-0.140952739630061,-0.0317482408492617,-0.174907847832622,0.142673664979453,-0.283074192584971,-0.494135723893885,-0.0678697144133915,0.0373147555685997,-0.30074398827104,0.434649776865699,-0.32553701362838,-0.448367828073459,-0.177658875346428,-0.120745324262162,-0.596960281988099,0.12539780019148,0.0705105534114355,-0.0557103555074817,0.158681199948913,-0.685877019074206,-0.915933764818787,-0.346074768448182,0.284213499551434,0.202829141436866,0.116956664046597,-0.0287473432272698,0.0393575070004353,-1.71502802014282e-07,1.20015457537341,1.32240818905314,0.839444585115936,0.707691697461,0.743309462501847,0.213627873559334,0.0331801273550551,0.103608239544033,-0.0642451010487997,-0.0261583661221106,0.135109615616784,-0.247778093488521,0.535654936512909,0.206446231374959,0.439094889861814,0.0765957633921774,0.0155058580199679,-0.109935342758206,0.315671439985199,0.144698265914252,0.258478904828895,0.202392465511006,0.0679150255304506,0.231572595423049,-0.180215215939687,-0.21673845315792,-0.105615922748132,-0.158739593449054,-0.268766308801637,-0.0512890589940803,0.543173203474868,0.963536534950187,0.337606648942875,0.532783665243359,1.18260048261965,0.248268494373205,0.558834777157056,1.07823315823075,0.302716824521717,-0.200563683450786,-0.141635960169903,-0.377700080654551,-0.181470133870899,-0.570185215854771,-0.0653644889349271,-0.214815299743893,-0.351451372262332,-0.225568127588149,-0.203218352086646,-0.217950451881004,-0.261628477534346,-0.176953942851602,-0.504481023093943,-0.00217089244261615,-0.200219299759544,-0.361625185164503,-0.133147575460409,0.188014276593491,0.225317394270071,0.35696626246534,0.105936097272646,0.236086839695365,0.101296012106592,0.153987722276789,0.238400409720531,0.240255538320497
8,204530,020ET_D,durum_wheat,landrace,0.570887025458001,0.349783372082135,0.76198109165235,0.779988924763002,0.723828129172067,0.855831711816513,0.712030577394462,0.81234233410436,0.596269063649254,0.825440473863081,0.914744344711843,0.727597852827263,0.280999130330525,0.462055963070686,0.086438871730259,0.290913116129265,0.694061609347323,0.246888020207123,-1.02383191656357,-1.31179860274397,-0.369695995722334,-1.00121650822125,-1.47311199502989,-0.38411072457055,-0.0630011086433232,-0.118181696071882,-0.000254152416663509,-0.0481406398363862,-0.212530537802295,2.39957766956461e-08,1.05016762225556,0.627709971306779,1.12189710487485,0.344039472349667,0.154867282759532,0.151632159403125,-0.2948895725872,-0.0768529410178846,-0.334969924039483,-0.0545798150110976,-0.178311415813177,0.076533436225085,-0.440455383585701,-0.221324211551116,-0.313927566060382,-0.687532318778633,-0.0646105235686711,-0.724236886915539,-0.304338549907753,-0.294498868348532,-0.153156198927475,-0.308103070835734,-0.1422343364921,-0.211975091157942,0.0276424850317013,0.0309084997727607,0.0176642968545133,0.251410630073676,-0.0256368556425955,0.509564050491691,-0.489233276476543,-1.18353824928515,0.0110867561574643,-0.512122961074066,-1.45091010389036,0.0662669238726534,-0.514217416299691,-1.32203858959886,0.0481700399390045,-0.580822007774324,-1.04883706694053,-0.457411701116643,-0.332954778474857,-0.954845648298919,-0.204831119681587,-0.506023879382659,-1.02509793958871,-0.338890885321998,-0.560700753600842,-0.911942966086597,-0.418044664607194,-0.295972495814958,-0.740411228611088,-0.101794134502248,-0.449267922988986,-0.848937133465886,-0.262531376362417,-0.360944399485524,-0.736104089712543,-0.386394741750984,-0.387133761386295,-0.896629684996774,-0.338873892161789,-0.38919283882352,-0.839137544974559,-0.375274134621282
9,204562a,204ET_D,durum_wheat,landrace,-0.0198243317121054,0.0614590085448883,-0.0999102927535888,0.383559146208176,0.101626298938051,0.729980291786443,0.0154572384088595,-0.137823526258001,0.166532207255778,0.40254374697336,0.0925022371057743,0.769447577964628,0.297391999086172,0.397025692274676,0.174471454089155,0.0734331853564366,-0.157463467916467,0.307633130214944,-1.04640937034061,-1.10467766835923,-0.593240192929542,-1.04610469160153,-0.960764197134623,-0.916614107431005,0.00785901545549611,0.122576432059679,-0.0377616137096617,0.0699821666842081,0.0813388478008905,2.19494355522873e-07,0.256486657913579,0.0873891352818294,0.321614968570757,-0.239319305508856,-0.326585409756908,-0.0550202211589015,-0.0382293655483381,-0.031737645877405,-0.0203437781702901,-0.151686432411139,-0.364042397401303,0.043270715088091,-0.684482963610353,-0.649094654477192,-0.219799759070108,-1.18899137270323,-0.051257793303898,-2.6439292124072,-0.210482731364817,-0.315080925675207,-0.0369431766853878,-0.604048558925427,-0.118202343546352,-0.997521098882959,-0.396672860572489,-0.486450831299833,-0.223470418312134,-0.422991533003378,-0.531502975925118,-0.312009173405,0.0699175465459077,0.610220431215258,-0.444235133969648,-0.207801217429788,0.166966652589968,-0.707828066846716,-0.071282206389355,0.410508760803057,-0.58188654560681,-0.638151571948134,-0.862060368487752,-0.791168059646504,-0.267114179630171,-0.749223593311678,-0.18029109090724,-0.489187008643174,-0.82631964165529,-0.488259410138387,-0.586755032177057,-0.725098827646629,-0.660780775035656,-0.380569717380967,-0.743517329981071,-0.327796952816857,-0.509328120104289,-0.749900064517884,-0.504232333906819,-0.407763600121308,-0.580197903120767,-0.684059683512924,-0.178135437999033,-0.458137229111616,-0.112636370763014,-0.304387359867995,-0.54056859577124,-0.407033116072816
10,206518a,206ET_D,durum_wheat,landrace,0.402112351980827,0.514540151246277,0.269471729134671,0.00600697615596015,0.0324927622453833,-0.0251282283939727,0.592618004996927,0.614391113195535,0.557202076704392,0.152650226538522,0.34274983507284,-0.0675469247826984,0.330177736597462,0.136904609090633,0.467913395285474,0.151104589203874,0.0073478373603963,0.388626610225373,-0.722356503344778,-0.249468648964174,-0.877750989402792,0.414444578168517,-0.0769642457652804,0.771231436013858,0.0773019371284605,0.186778599561429,-0.0143194503945052,0.188104973178357,0.0603481774006629,7.66890376051431e-07,0.831436647802558,1.39959687991385,0.227464129121874,0.3516155604107,0.529330488050096,0.0689712072155119,0.170824512577785,0.394806962723492,-0.181315294732972,-0.113199053527818,-0.306001465655014,0.076533436225085,-0.0879711012411039,-0.078734063795019,-0.0315441450895587,0.00495875568866371,-0.0111996025095784,0.274003122340127,-0.00375162727061647,-0.0978436458157393,0.0564819739764542,0.10576221142204,-0.143002268493206,0.767603533859808,-0.0983359687065463,-0.0854489571134699,-0.0870995019322272,-0.446169270991537,-0.307980736730515,-0.568740391996343,-0.915167785700497,-0.966112954679041,-1.22731138825778,-0.505212708290279,-0.914878142484114,-0.437356103372065,-0.722192658181788,-0.952805193804795,-0.82768541159768,-0.0848016713824796,-0.248365502142918,0.0299391192220569,-0.143149278855905,-0.243545132292059,-0.241466232202352,-0.140517729470089,-0.251509795728243,-0.125935518054172,-0.0889005029315615,-0.298026511212418,0.087522085362774,-0.228734170046884,-0.269954432339389,-0.362786401074081,-0.187610298173662,-0.291778226378037,-0.169826051283981,-0.122281965603984,-0.294369894369179,-0.0845944083808428,-0.182813677429274,-0.238065322992872,-0.337060721752966,-0.165103362719439,-0.277930842446811,-0.235270284590764
