genotype,accession,type,adm1,adm2,adm3,adm4,lon,lat,year_charac,select,from_gps,elev_mean,elev_median
003ET_D,5588,farmer variety,Oromia,SEMEN SHEWA,BEREHNA ALELTU,9km Chefe Donsa to Sendafa,39.05,9.016667,1982,TRUE,TRUE,1165.133333,1165
005ET_D,5634,farmer variety,Oromia,SEMEN SHEWA,BEREHNA ALELTU,"Rogge, S of Hamus Gebeya",39.1,9.033333,1983,TRUE,TRUE,1183.866667,1185
014ET_D,8208,farmer variety,Amhara,SEMEN SHEWA,MAFUDMEZEZO MOJANA,Debre Sina Area,39.75,9.85,1985,TRUE,TRUE,1653.866667,1669
019ET_D,204488,farmer variety,Oromia,SEMEN SHEWA,KEMBIBIT,NA,39.25,9.45,1982,TRUE,TRUE,1464.383333,1463
022ET_D,206551,farmer variety,Tigray,DEBUBAWI,ENDERTA,Aynalem kebele,39.491537,13.454248,1984,TRUE,FALSE,883.8166667,885
028ET_D,208136,farmer variety,Amhara,MISRAK GOJAM,ENARJ ENAWGA,5Km from Debre Work on the road to MottaTitar eyesus to Mota,38.07527778,10.75416667,2003,TRUE,TRUE,1355.25,1347
033ET_D,208175,farmer variety,Amhara,MISRAK GOJAM,ENARJ ENAWGA,Zachela Gabriel,38.07527778,10.75416667,2003,TRUE,FALSE,NA,NA
035ET_D,208190,farmer variety,Amhara,MISRAK GOJAM,ENARJ ENAWGA,Quami Cherk on the road from Debrework to Mota,38.07527778,10.75416667,2003,TRUE,FALSE,NA,NA
048ET_D,208253,farmer variety,Oromia,SEMEN SHEWA,WARA JARSO,Goha Tsiyon,38.25833333,9.983888889,2003,TRUE,TRUE,1209.086207,1211.5
051ET_D,208279,farmer variety,Oromia,SEMEN SHEWA,DEGEM,Adelgae,38.55555556,9.8525,NA,TRUE,TRUE,1562.344262,1563
454ET_D,208281,farmer variety,Oromia,SEMEN SHEWA,DEGEM,Adelgae,38.55555556,9.8525,1994,TRUE,TRUE,1562.344262,1563
060ET_D,208304,farmer variety,Oromia,SEMEN SHEWA,GERAR JARSO,Fiche town {Commando area},38.72638889,9.928333333,NA,TRUE,TRUE,511.7096774,513.5
066ET_D,208328,farmer variety,Oromia,SEMEN SHEWA,MULONA SULULTA,Irko Ababoro,38.75305556,9.165555556,1999,TRUE,TRUE,1310.47541,1305
072ET_D,208474,farmer variety,Oromia,MISRAK SHEWA,LOME,Damsie/ Wellebo Kebele,38.28888889,9.661666667,1984,TRUE,TRUE,358.7741935,358.5
387ET_D,210813,farmer variety,Amhara,MISRAK GOJAM,DEJEN,Enabirga about 11km. From Dejen to Bichena,38.1325,10.28666667,NA,TRUE,TRUE,1103.225806,1102
082ET_D,212564,farmer variety,Amhara,SEMEN SHEWA,LAY BETNA TACH BET,Shuladubigana 6kms away from Shilafaf on the way to Jama,39.216667,10.416667,1985,TRUE,TRUE,1221.183333,1252.5
107ET_D,222360,farmer variety,Amhara,MISRAK GOJAM,ENARJ ENAWGA,NA,38.166667,10.65,1986,TRUE,TRUE,1213.05,1215.5
360ET_D,222366,farmer variety,Amhara,MISRAK GOJAM,ENEMAY,NA,38.283333,10.416667,1986,TRUE,TRUE,1093.433333,1090.5
114ET_D,222434,farmer variety,Oromia,ARSSI,SERU,NA,40.083333,7.5,1986,TRUE,TRUE,546.7,517.5
121ET_D,222541,farmer variety,Amhara,DEBUB GONDAR,FARTA,NA,38.21888889,11.80833333,1986,TRUE,TRUE,1685.566667,1674.5
122ET_D,222542,farmer variety,Amhara,DEBUB GONDAR,FARTA,NA,38.21888889,11.80833333,1986,TRUE,TRUE,1685.566667,1674.5
123ET_D,222554,farmer variety,Oromia,ARSSI,SHERKA,NA,39.5,7.633333,1986,TRUE,TRUE,1051.666667,1054.5
415ET_D,222854,farmer variety,Amhara,DEBUB WELLO,DEBRESINA,NA,37.14305556,9.711111111,1986,TRUE,TRUE,1236.322581,1255.5
140ET_D,222859,farmer variety,Amhara,SEMEN SHEWA,HAGEREMARIAM KESE,NA,39.92083333,9.460833333,1986,TRUE,TRUE,149.8965517,150.5
156ET_D,227542,farmer variety,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA
441ET_D,228600,farmer variety,Amhara,MISRAK GOJAM,AWABEL,Arera,NA,NA,1993,TRUE,TRUE,NA,NA
414ET_D,228753,farmer variety,Oromia,MIRAB SHEWA,DENDI,Yimura Meti,38.03305556,8.817777778,1993,TRUE,TRUE,1654.694915,1675
160ET_D,228862,farmer variety,Oromia,MISRAK HARERGE,META,Kebenawa No3,41.59305556,9.31,1993,TRUE,TRUE,947.2622951,989
167ET_D,236269,farmer variety,Tigray,DEBUBAWI,OFLA,Sebhale Korem 14Km. to Sekota,39.38833333,12.49611111,NA,TRUE,TRUE,1328.372881,1312
168ET_D,236276,farmer variety,Tigray,DEBUBAWI,ENDAMEHONI,Ambalage ayba 17Km. Maychew to Mekele,39.5225,12.93888889,NA,TRUE,TRUE,1216.229508,1198
169ET_D,236278,farmer variety,Tigray,DEBUBAWI,ENDERTA,Qwha Debre Medhanit 15Km. Qwha to Asmera RD.,39.58611111,13.63083333,NA,TRUE,TRUE,1004.196721,1012
197ET_D,238576,farmer variety,Amhara,SEMEN SHEWA,KEWET,Bakelo 7km from D.Brhan on the way to keit (D.Sina),NA,NA,NA,FALSE,TRUE,NA,NA
242ET_D,210812a,farmer variety,Amhara,MISRAK GOJAM,DEJEN,Alektam Abo 10km. From Dejen to Bichena,38.20888889,10.24805556,NA,TRUE,TRUE,1117.310345,1119.5
246ET_D,210817b,farmer variety,Amhara,MISRAK GOJAM,DEJEN,"Sheben Shengo , about 15km. From Dejen to Bichena",38.1475,10.34055556,1984,TRUE,TRUE,1120.483333,1120.5
249ET_D,210820a,farmer variety,Amhara,MISRAK GOJAM,ENEMAY,Yeetmen abo about 20kmn. From Dejen  to  Bichena,37.91527778,10.28222222,NA,TRUE,TRUE,1166.870968,1164.5
272ET_D,227056b,farmer variety,Amhara,MISRAK GOJAM,HULET EJ ENESE,NA,37.98055556,10.96,1987,TRUE,TRUE,1194.409836,1191
336ET_D,6856b,farmer variety,Amhara,SEMEN GONDAR,ALEFA,9km S of Dengel Ber,37,11.966667,1985,TRUE,TRUE,566.0333333,564
341ET_D,asassa,modern,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA
390ET_D,hitosa,modern,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA
344ET_D,ude,modern,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA
