maxDT_veg,minDT_veg,maxNT_veg,minNT_veg,DTR_veg,minDT_rep,maxNT_rep,minNT_rep,DTR_rep,maxDT_gra,maxNT_gra,minNT_gra,DTR_gra,maxDT_sow2rep,minDT_sow2rep,maxNT_sow2rep,minNT_sow2rep,DTR_sow2rep,maxDT_sow2gra,minDT_sow2gra,maxNT_sow2gra,minNT_sow2gra,DTR_sow2gra,MLDS_veg,MLWS_veg,R10mm_veg,R20mm_veg,SDII_veg,Rx1day_veg,Rx5day_veg,Rtotal_veg,MLDS_rep,Rtotal_rep,MLWS_sow2rep,R10mm_sow2rep,R20mm_sow2rep,SDII_sow2rep,Rx1day_sow2rep,Rx5day_sow2rep,Rtotal_sow2rep,MLDS_sow2gra,MLWS_sow2gra,R10mm_sow2gra,R20mm_sow2gra,SDII_sow2gra,Rx1day_sow2gra,Rx5day_sow2gra,Rtotal_sow2gra,year,lat,lon,id
21.58,16.51,13.38,9.32,7.60448717948718,16.54,11.53,7,8.557083333333335,22.57,10.4,5.53,11.887272727272727,21.58,16.51,13.38,9.32,7.609310344827587,22.57,16.51,13.38,5.53,9.046183206106871,1,45,11,0,6.154324324324325,17.89,60.64,453.21,9,70.78,45,12,0,6.202345679012345,17.89,60.64,499.43,45,45,12,0,6.2092682926829275,17.89,60.64,501.96,2014,9.773889,39.190778,48
26.07,19.55,16.19,12.82,9.499610389610389,20.34,14.45,9.85,11.093461538461538,27.38,13.93,8.12,13.947755102040816,26.07,19.55,16.19,10.08,9.7075,27.38,19.55,16.19,8.12,11.224087591240876,1,67,5,0,4.794868421052631,14.12,38.87,363.5,7,70.8,67,5,0,4.768395061728395,14.12,43.12,382.93,21,67,5,0,4.676206896551724,14.12,43.12,394.79,2014,8.729889,39.211333,49
23.19,17.65,13.63,9.66,9.026,19.02,11.15,6.81,11.542,23.97,11.09,4.46,13.608653846153846,23.19,17.65,13.63,7.14,9.430625,23.97,17.65,13.63,4.46,11.076515151515151,3,53,5,0,5.2703125,15.59,42.99,334.29,20,28.88,53,5,0,5.3015625,15.59,42.99,334.29,44,53,5,0,5.160579710144927,15.59,42.99,343.3,2014,9.002,39.135667,53
23.16,18.29,17.87,13.72,4.760533333333333,20.32,15.11,11.83,7.46,23.38,15.99,9.47,8.289387755102041,23.16,18.29,17.87,12.83,5.105176470588235,23.38,18.29,17.87,9.47,6.26955223880597,3,46,20,4,8.593142857142857,40.29,114.88,599.1,20,30.53,46,20,4,8.596,40.29,114.88,599.1,33,46,20,4,7.7711250000000005,40.29,114.88,614.67,2014,11.718192,38.961236,54
23.16,18.92,17.87,12.92,5.214109589041096,20.97,15.11,11.83,7.894347826086956,23.38,15.99,9.47,8.431698113207547,23.16,18.92,17.87,11.83,5.472839506172839,23.38,18.92,17.87,9.47,6.643134328358209,9,38,18,1,7.562096774193549,24.35,66.73,466.25,23,0,38,18,1,7.56241935483871,24.35,66.73,466.25,33,38,18,1,6.804444444444445,24.35,66.73,481.82,2014,11.81837642,38.69750823,55
26.07,19.55,16.19,12.82,9.502435897435898,20.34,14.45,10.08,10.839583333333334,27.38,13.93,9.06,13.928372093023256,26.07,19.55,16.19,10.08,9.641954022988505,27.38,19.55,16.19,9.06,11.05976923076923,1,68,5,0,4.767532467532468,14.12,38.87,366.19,6,70.8,68,5,0,4.783827160493828,14.12,43.12,384.59,21,68,5,0,4.665172413793104,14.12,43.12,396.23,2014,8.761556,39.27525,57
26.07,20.34,16.19,9.85,10.356153846153846,23.72,12.73,9.06,14.54,27.38,13.93,8.08,14.03547619047619,26.07,20.34,16.19,9.19,10.875632183908046,27.38,20.34,16.19,8.08,11.904418604651163,10,47,3,0,4.796721311475411,12.65,43.12,287.28,19,1.3,47,3,0,4.805573770491803,12.65,43.12,287.28,21,47,3,0,4.651764705882353,12.65,43.12,300.79,2014,8.94525,39.092278,58
29.08,20.53,16.63,12.55,10.381527777777778,22.01,15.15,11.63,12.524230769230769,27.88,14.62,8.58,13.718039215686275,29.08,20.53,16.63,12.1,10.729638554216868,29.08,20.53,16.63,8.58,11.867014925373134,26,15,7,2,10.737058823529411,90.51,128.75,358.3,11,4.51,15,7,2,10.491714285714286,90.51,128.75,359.49,26,15,7,2,9.361219512195122,90.51,128.75,370,2015,13.3707,39.08,61
29.08,20.53,16.63,12.1,10.561447368421053,22.01,14.87,11.63,12.897826086956522,27.88,14.62,8.58,13.7646,29.08,20.53,16.63,12.1,10.803690476190477,29.08,20.53,16.63,8.58,11.908507462686567,26,15,7,2,10.879393939393939,90.51,128.75,351.73,10,2.7199999999999998,15,7,2,10.60735294117647,90.51,128.75,352.92,26,15,7,2,9.255121951219511,90.51,128.75,365.65,2015,13.3846,39.0824,62
25.7,17.31,16,12.96,8.503835616438357,20.88,15.02,10.93,9.8652,24.51,14.06,7.38,12.366666666666667,25.7,17.31,16,10.93,8.563132530120482,25.7,17.31,16,7.38,10.010746268656716,10,47,11,8,9.847777777777777,40.28,142.75,526.23,6,101.34,47,12,10,9.884677419354839,40.28,142.75,606.07,23,47,12,10,9.353235294117647,40.28,142.75,625.6,2013,13.3742,39.0925,63
