id,year,region,lat,lon,type
136,2014,Oromia,8.726167,39.243944,Farm trial
137,2015,Oromia,8.784528,39.242528,Farm trial
138,2014,Oromia,8.945361,39.189722,Farm trial
139,2014,Amhara,11.68275,38.69348,Farm trial
140,2014,Oromia,8.946056,39.079417,Farm trial
141,2014,Amhara,11.718192,38.961236,Farm trial
143,2014,Amhara,11.82123303,38.70506029,Farm trial
144,2014,Amhara,11.69371,38.703,Farm trial
148,2014,Amhara,11.67813,38.69022,Farm trial
149,2015,Oromia,8.982894,39.078,Farm trial
150,2014,Oromia,8.773361,39.277917,Farm trial
151,2014,Oromia,9.922028,39.168083,Farm trial
152,2014,Oromia,9.801333,39.198889,Farm trial
153,2014,Oromia,9.941417,39.209556,Farm trial
154,2014,Oromia,8.745306,39.222167,Farm trial
155,2014,Oromia,8.752556,39.221639,Farm trial
156,2014,Oromia,8.937667,39.093417,Farm trial
157,2015,Oromia,9.801222,39.181111,Farm trial
158,2014,Amhara,11.68067,38.69402,Farm trial
159,2014,Amhara,11.78779,39.02029,Farm trial
160,2015,Tigray,13.3742,39.0925,Farm trial
161,2013,Tigray,13.3742,39.0925,Farm trial
162,2014,Amhara,11.70296,38.75998,Farm trial
163,2014,Oromia,8.782833,39.241389,Farm trial
164,2015,Tigray,13.3742,39.0925,Farm trial
165,2014,Amhara,11.73121,38.73759,Farm trial
167,2014,Amhara,11.707127,38.94707,Farm trial
168,2014,Amhara,11.83150785,38.59617014,Farm trial
170,2014,Oromia,9.865056,39.177222,Farm trial
172,2014,Amhara,11.82840382,38.58835316,Farm trial
173,2014,Amhara,11.81736829,38.69348853,Farm trial
174,2013,Tigray,13.3742,39.0925,Farm trial
175,2013,Tigray,13.3742,39.0925,Farm trial
176,2015,Tigray,13.3946,39.0748,Farm trial
180,2014,Amhara,11.70623,38.75922,Farm trial
181,2014,Amhara,11.64413,38.92404,Farm trial
182,2014,Amhara,11.70924,38.979025,Farm trial
183,2013,Tigray,13.3742,39.0925,Farm trial
185,2013,Tigray,13.3742,39.0925,Farm trial
186,2015,Tigray,13.3742,39.0925,Farm trial
187,2013,Tigray,13.3742,39.0925,Farm trial
189,2015,Tigray,13.3742,39.0925,Farm trial
191,2015,Tigray,13.3742,39.0925,Farm trial
192,2013,Tigray,13.3742,39.0925,Farm trial
193,2014,Amhara,11.72473,38.74472,Farm trial
194,2014,Amhara,11.74477,38.72975,Farm trial
196,2014,Amhara,11.64035,38.92547,Farm trial
197,2015,Oromia,9.055472,39.173583,Farm trial
198,2015,Oromia,8.966167,39.089528,Farm trial
199,2014,Amhara,11.81736829,38.69348853,Farm trial
200,2014,Amhara,11.81736829,38.69348853,Farm trial
201,2014,Oromia,9.065833,39.124278,Farm trial
202,2015,Tigray,13.3742,39.0925,Farm trial
203,2015,Tigray,13.3707,39.08,Farm trial
204,2015,Oromia,9.801222,39.181111,Farm trial
207,2014,Amhara,11.8195749,38.69351362,Farm trial
208,2014,Amhara,11.81827994,38.70033577,Farm trial
209,2014,Oromia,8.964389,39.181528,Farm trial
210,2015,Oromia,8.954,39.096556,Farm trial
211,2014,Oromia,9.770111,39.133056,Farm trial
212,2014,Amhara,11.7041,38.76576,Farm trial
214,2014,Amhara,11.731456,38.751456,Farm trial
215,2014,Amhara,11.67813,38.69022,Farm trial
216,2015,Oromia,9.055472,39.171861,Farm trial
218,2014,Amhara,11.67813,38.69022,Farm trial
219,2015,Tigray,13.3742,39.0925,Farm trial
220,2013,Amhara,11.81750671,38.69606794,Farm trial
221,2013,Amhara,11.81628122,38.69176392,Farm trial
222,2014,Oromia,8.947444,39.089278,Farm trial
223,2014,Amhara,11.718192,38.961236,Farm trial
225,2014,Oromia,9.920222,39.177556,Farm trial
226,2013,Tigray,13.3707,39.08,Farm trial
227,2013,Tigray,13.3742,39.0925,Farm trial
228,2015,Tigray,13.3742,39.0925,Farm trial
229,2014,Oromia,9.941417,39.206056,Farm trial
230,2014,Amhara,11.6768,38.69016,Farm trial
231,2015,Oromia,9.801222,39.181111,Farm trial
232,2014,Oromia,9.855444,39.191667,Farm trial
233,2014,Oromia,8.957694,39.177167,Farm trial
234,2014,Oromia,9.896667,39.206583,Farm trial
235,2014,Amhara,11.70598,38.7643,Farm trial
