value,model,gain
1.9952772504927638,L,-0.05122078729936064
2.1844092456049617,L,0.038713834756163745
2.179565750532057,L,0.03641069245308026
2.184810879768577,L,0.038904816809136156
2.273143558696406,L,0.0809081071028468
2.1911070849973173,L,0.04189874090587553
1.9565254672737882,L,-0.06964774343498803
2.039473013775337,L,-0.03020515075983321
2.200691367804158,L,0.04645618689165465
2.1442292522515443,L,0.019607746892555955
2.210920616102851,L,0.05132032201120085
2.1556544967760156,L,0.02504059313092366
2.058134634597903,L,-0.0213313173577937
2.2963922143497633,L,0.09196313276491597
2.061697995976959,L,-0.01963689458875073
2.264360061538263,L,0.07673144467841264
2.0594323525027343,L,-0.020714236312164958
2.0522171277183427,L,-0.024145165667322277
2.0224310245806048,L,-0.03830882912685596
2.039352306194475,L,-0.030262548719695026
2.070733197291059,L,-0.015340543699536302
2.0655570964574452,L,-0.01780184418926145
2.0121388359567414,L,-0.04320289315585435
1.96786758657106,L,-0.064254424278683
2.0343594315215094,L,-0.032636722885295066
2.2544321988458647,L,0.07201062217278453
2.148485836110655,L,0.021631805594996445
2.2931289297896442,L,0.09041140026508243
2.262147214161611,L,0.07567920815773443
1.9700148969143094,L,-0.0632333514346014
2.1226013738045815,L,0.009323421002393806
2.0516094506311537,L,-0.024434123699704546
2.0662929663917455,L,-0.01745192885957836
2.141646880591737,L,0.01837979696745795
2.0203386633057154,L,-0.039303773003745435
2.235493593993623,L,0.06300507941078481
2.0278325400530752,L,-0.035740341165548695
2.0492380851739944,L,-0.025561737544303464
2.321946034768827,L,0.10411429301730957
2.2532250273631242,L,0.07143659707992778
2.1587628736766393,L,0.02651866510704748
2.1933738192431167,L,0.042976601304774986
2.06895262499273,L,-0.016187228030221767
2.1842306707651407,L,0.03862892019309139
2.075626169392036,L,-0.01301387445265112
2.1396724708769117,L,0.017440940528174798
2.2047859512178825,L,0.04840321236225065
2.1333483492380796,L,0.014433741830333302
2.043704279144749,L,-0.028193131314953046
2.2376464105774123,L,0.06402877054090306
1.9804308552970227,L,-0.0582804333419239
2.068157674859401,L,-0.016565236731242994
2.219726684388187,L,0.05550771728806558
2.1406201609798527,L,0.017891578989336132
2.0098901169316803,L,-0.04427218709265213
2.140392418386135,L,0.01778328454618916
2.1366839126969346,L,0.016019843847796755
2.2323436853462093,L,0.061507258571182444
2.0179414412460344,L,-0.04044368198526227
2.2684866307591283,L,0.0786936797991511
2.2746007152313075,L,0.08160100320519237
1.968559770921953,L,-0.06392528198864711
2.070945052266032,L,-0.015239804017213032
1.9581074736028332,L,-0.06889547969871379
2.041880959215741,L,-0.02906014267706747
2.2157189859782047,L,0.053602006720160356
2.067565714303115,L,-0.016846721357203776
2.142108259045346,L,0.01859918817530337
