sample,kendallTau,run,trait
0.25,0.10169136010512199,1,GY
0.25,0.08373697334738885,2,GY
0.25,0.06487170219133236,3,GY
0.25,0.08432257507651134,4,GY
0.25,0.07556056801199135,5,GY
0.25,0.08966089876073749,6,GY
0.25,0.10090442703257932,7,GY
0.25,0.09891759402734804,8,GY
0.25,0.08971666917471102,9,GY
0.25,0.07262905930569329,10,GY
0.25,0.0872926828551828,11,GY
0.25,0.05856672057954309,12,GY
0.25,0.1149793761435994,13,GY
0.25,0.06541156644117961,14,GY
0.25,0.10574532255387775,15,GY
0.25,0.1116636130771041,16,GY
0.25,0.09904669339610243,17,GY
0.25,0.09509275844123026,18,GY
0.25,0.06555788996507995,19,GY
0.25,0.08254395774563575,20,GY
0.25,0.09322287288402532,21,GY
0.25,0.08642599085875848,22,GY
0.25,0.08933594991446013,23,GY
0.25,0.08778192670625555,24,GY
0.25,0.09714971127654197,25,GY
0.25,0.05617474574591245,26,GY
0.25,0.08319237259130853,27,GY
0.25,0.07183444703815164,28,GY
0.25,0.11673709759352953,29,GY
0.25,0.09516824353932506,30,GY
0.25,0.07863408567255498,31,GY
0.25,0.09669689760210806,32,GY
0.25,0.07093161183055491,33,GY
0.25,0.05610075058327197,34,GY
0.25,0.08009864622107636,35,GY
0.25,0.08662206174310676,36,GY
0.25,0.09715413953918041,37,GY
0.25,0.08939295141475087,38,GY
0.25,0.08506677956761523,39,GY
0.25,0.09448167633992856,40,GY
0.25,0.11153099641455587,41,GY
0.25,0.12202659717595814,42,GY
0.25,0.08746889142460097,43,GY
0.25,0.09413616840027145,44,GY
0.25,0.07775640330558069,45,GY
0.25,0.12466102410306143,46,GY
0.25,0.07977533641066673,47,GY
0.25,0.11949624156769151,48,GY
0.25,0.06254504893319379,49,GY
0.25,0.11548664180629889,50,GY
0.25,0.1067907858964035,51,GY
0.25,0.07410521527508364,52,GY
0.25,0.11258518897691763,53,GY
0.25,0.11780145345050178,54,GY
0.25,0.08517084184134802,55,GY
0.25,0.12924367030562722,56,GY
0.25,0.10488005368820014,57,GY
0.25,0.09455885621630931,58,GY
0.25,0.11810399181745564,59,GY
0.25,0.1333274926928636,60,GY
0.25,0.08513410997605195,61,GY
0.25,0.07731228495319747,62,GY
0.25,0.09392573791116057,63,GY
0.25,0.08859835065740317,64,GY
0.25,0.089625637184626,65,GY
0.25,0.08878099778183295,66,GY
0.25,0.12995373856151937,67,GY
0.25,0.08090417203586929,68,GY
0.25,0.10502334186992533,69,GY
0.25,0.07019099546337448,70,GY
0.25,0.09445581431357661,71,GY
0.25,0.07757028595118076,72,GY
0.25,0.10321503968419869,73,GY
0.25,0.08404706025336364,74,GY
0.25,0.09602437283711884,75,GY
0.25,0.11798046287684355,76,GY
0.25,0.12114891632563823,77,GY
0.25,0.08319237259130853,78,GY
0.25,0.09403381317848236,79,GY
0.25,0.10951986092808257,80,GY
0.25,0.10454222019601088,81,GY
0.25,0.09779296169092777,82,GY
0.25,0.11522034393617239,83,GY
0.25,0.09869902843785477,84,GY
0.25,0.08713855576834503,85,GY
0.25,0.11042859822716665,86,GY
0.25,0.08939628235720463,87,GY
0.25,0.08952639773866643,88,GY
0.25,0.08310775773324851,89,GY
0.25,0.09359204689784796,90,GY
0.25,0.11003231021251006,91,GY
0.25,0.05444055987406538,92,GY
0.25,0.10175147064486942,93,GY
0.25,0.08892905237956508,94,GY
0.25,0.08791489908041807,95,GY
0.25,0.09451061875033899,96,GY
0.25,0.13079501276048078,97,GY
0.25,0.10482149576017423,98,GY
0.25,0.09853659255231749,99,GY
0.25,0.08042752338182707,100,GY
0.5,0.11342690180429454,1,GY
0.5,0.09734030697227163,2,GY
0.5,0.09961215794950187,3,GY
0.5,0.10907670878709408,4,GY
0.5,0.11289917008985026,5,GY
0.5,0.11694063199365534,6,GY
0.5,0.10866956837721188,7,GY
0.5,0.1618378278601974,8,GY
0.5,0.07339124125400277,9,GY
0.5,0.136851137179194,10,GY
0.5,0.08578373199698287,11,GY
0.5,0.10995703597402423,12,GY
0.5,0.10553023172315174,13,GY
0.5,0.13477188643940904,14,GY
0.5,0.1036520259466696,15,GY
0.5,0.10712502581913307,16,GY
0.5,0.1340652527098301,17,GY
0.5,0.14489057186796345,18,GY
0.5,0.09239535700789181,19,GY
0.5,0.11548118977299342,20,GY
0.5,0.07934991026683709,21,GY
0.5,0.07232568303071647,22,GY
0.5,0.11330120388851873,23,GY
0.5,0.12029161977383913,24,GY
0.5,0.08614426206621792,25,GY
0.5,0.10130057553349414,26,GY
0.5,0.1062340465708251,27,GY
0.5,0.105398247895365,28,GY
0.5,0.11531840068120058,29,GY
0.5,0.09962530155296484,30,GY
0.5,0.10330845420692966,31,GY
0.5,0.08176068059855016,32,GY
0.5,0.16871027698230392,33,GY
0.5,0.08394534401030021,34,GY
0.5,0.10376184250283675,35,GY
0.5,0.08308096296330662,36,GY
0.5,0.12565375635004586,37,GY
0.5,0.06718973545924195,38,GY
0.5,0.08577720923201657,39,GY
0.5,0.08986789247627427,40,GY
0.5,0.11015555931256547,41,GY
0.5,0.0579275032500043,42,GY
0.5,0.10943807856647653,43,GY
0.5,0.13257460814285932,44,GY
0.5,0.10933200770527197,45,GY
0.5,0.14282798782129225,46,GY
0.5,0.10536341392246477,47,GY
0.5,0.12373906859595779,48,GY
0.5,0.09730611817159815,49,GY
0.5,0.08738979087035191,50,GY
0.5,0.09784481028748522,51,GY
0.5,0.06241480085892015,52,GY
0.5,0.11501802470181384,53,GY
0.5,0.15357514431304267,54,GY
0.5,0.07513594039615881,55,GY
0.5,0.06978891461110236,56,GY
0.5,0.05718885576203118,57,GY
0.5,0.10591121120015923,58,GY
0.5,0.10202346149816048,59,GY
0.5,0.10136241771577302,60,GY
0.5,0.11116700464828277,61,GY
0.5,0.12992935066946776,62,GY
0.5,0.09820886537939194,63,GY
0.5,0.07645601707104073,64,GY
0.5,0.05890252294486581,65,GY
0.5,0.1444992780650051,66,GY
0.5,0.09490081989719527,67,GY
0.5,0.12686127263353858,68,GY
0.5,0.07887286060815224,69,GY
0.5,0.09081784034139759,70,GY
0.5,0.13585007377749053,71,GY
0.5,0.11609483229834498,72,GY
0.5,0.08768131285880018,73,GY
0.5,0.0820543676599069,74,GY
0.5,0.07702038425238779,75,GY
0.5,0.09050134972161805,76,GY
0.5,0.13593805892278654,77,GY
0.5,0.1288145781365711,78,GY
0.5,0.06419374526218556,79,GY
0.5,0.10574386239914739,80,GY
0.5,0.13190201361346282,81,GY
0.5,0.152598058188412,82,GY
0.5,0.1718076893969847,83,GY
0.5,0.07906873858003396,84,GY
0.5,0.07420335739090564,85,GY
0.5,0.1001998280263172,86,GY
0.5,0.06827804127902204,87,GY
0.5,0.1216201745424899,88,GY
0.5,0.10894652062588547,89,GY
0.5,0.10828174584499586,90,GY
0.5,0.10330845420692966,91,GY
0.5,0.13597939833373351,92,GY
0.5,0.09678981660384743,93,GY
0.5,0.15170478748982552,94,GY
0.5,0.1304781933861394,95,GY
0.5,0.12491389547652754,96,GY
0.5,0.10216422520251167,97,GY
0.5,0.12855067737386627,98,GY
0.5,0.10938969741275573,99,GY
0.5,0.06573083398118228,100,GY
0.75,0.08904748378493574,1,GY
0.75,0.04829134309981775,2,GY
0.75,0.09680748389065408,3,GY
0.75,0.09269329118506361,4,GY
0.75,0.09208889902252963,5,GY
0.75,0.13038644981243877,6,GY
0.75,0.15413579049353807,7,GY
0.75,0.132620766897416,8,GY
0.75,0.10517801151139071,9,GY
0.75,0.06674114856982875,10,GY
0.75,0.09193552617843304,11,GY
0.75,0.11003575728569275,12,GY
0.75,0.11559999498784301,13,GY
0.75,0.07882158581710215,14,GY
0.75,0.04364833331129901,15,GY
0.75,0.15097456926333996,16,GY
0.75,0.20476397270830338,17,GY
0.75,0.13131247326289583,18,GY
0.75,0.0379198213156763,19,GY
0.75,0.03346544693880235,20,GY
0.75,0.13149888491334505,21,GY
0.75,0.09987219924605503,22,GY
0.75,0.041713766343683845,23,GY
0.75,0.07341254800368245,24,GY
0.75,0.050680817153572505,25,GY
0.75,0.048039405230272794,26,GY
0.75,0.13543256160187814,27,GY
0.75,0.11163356694902775,28,GY
0.75,0.12371462136861311,29,GY
0.75,0.0567385723172079,30,GY
0.75,0.11269037143541716,31,GY
0.75,0.15499032910820137,32,GY
0.75,0.08571695474918066,33,GY
0.75,0.21036602890539213,34,GY
0.75,0.0681941531736178,35,GY
0.75,0.12970625897379692,36,GY
0.75,0.10762482850922606,37,GY
0.75,0.09266498644014484,38,GY
0.75,0.17347168085505868,39,GY
0.75,0.0452233954207429,40,GY
0.75,0.09785081150411248,41,GY
0.75,0.1451751778746751,42,GY
0.75,0.09857782387300425,43,GY
0.75,0.13996855817287007,44,GY
0.75,0.12488862188348834,45,GY
0.75,0.12880168385109306,46,GY
0.75,0.026982896722181453,47,GY
0.75,0.09438105338680661,48,GY
0.75,0.06819497068303736,49,GY
0.75,0.09263041697053218,50,GY
0.75,0.14319359568948004,51,GY
0.75,0.08118154682593719,52,GY
0.75,0.10731981187124041,53,GY
0.75,0.1927834112449118,54,GY
0.75,0.07041017572634785,55,GY
0.75,0.04025728811907982,56,GY
0.75,0.10402102483348025,57,GY
0.75,0.09996983971764008,58,GY
0.75,-0.004019317987745493,59,GY
0.75,0.12109178343101865,60,GY
0.75,0.0998827521946499,61,GY
0.75,0.09803126136625667,62,GY
0.75,0.15954453137425748,63,GY
0.75,0.15108093919217536,64,GY
0.75,0.07068391372023913,65,GY
0.75,0.17365051932182546,66,GY
0.75,0.13110982667873056,67,GY
0.75,0.10194382932849902,68,GY
0.75,0.13180188551225938,69,GY
0.75,0.07229808574648387,70,GY
0.75,0.14309345421970837,71,GY
0.75,0.03342474659767076,72,GY
0.75,0.05792587363800082,73,GY
0.75,0.07524262821293484,74,GY
0.75,0.08365321515746298,75,GY
0.75,0.09189602328727867,76,GY
0.75,0.09786058325124597,77,GY
0.75,0.15734961383475912,78,GY
0.75,0.09936822219410155,79,GY
0.75,0.0458054719406535,80,GY
0.75,0.07652308796768285,81,GY
0.75,0.05547954959054336,82,GY
0.75,0.0735026012329325,83,GY
0.75,0.08170665359038008,84,GY
0.75,0.06658534257132415,85,GY
0.75,0.0894932376515987,86,GY
0.75,0.15412822204685123,87,GY
0.75,0.07820593299162287,88,GY
0.75,0.09126832739059092,89,GY
0.75,0.11398617147619886,90,GY
0.75,0.022374503447092003,91,GY
0.75,0.0011923818668115854,92,GY
0.75,0.15283061477490217,93,GY
0.75,0.03422640174055165,94,GY
0.75,0.20547328063048872,95,GY
0.75,0.05631740176328399,96,GY
0.75,0.13518493287114386,97,GY
0.75,0.09656252042186897,98,GY
0.75,0.09779090681860811,99,GY
0.75,0.09776553460578098,100,GY
0.85,0.1408801926551464,1,GY
0.85,0.06629106526442079,2,GY
0.85,0.17242819710033158,3,GY
0.85,0.03026045152033654,4,GY
0.85,0.09478857896193658,5,GY
0.85,0,6,GY
0.85,0.12841229047411173,7,GY
0.85,0.05007763470981977,8,GY
0.85,0.024936194284675653,9,GY
0.85,0.12495696324469155,10,GY
0.85,0.18001145597612003,11,GY
0.85,0.08393049402200382,12,GY
0.85,0.0447864579400217,13,GY
0.85,0.0608535050212877,14,GY
0.85,0.10130499906473484,15,GY
0.85,0.050022628274978664,16,GY
0.85,0.12175519540939113,17,GY
0.85,0.14752401696864686,18,GY
0.85,0.12433853534800102,19,GY
0.85,0.14114037861963416,20,GY
0.85,0.08967809169678571,21,GY
0.85,0.07031221110141109,22,GY
0.85,0.1979377872957495,23,GY
0.85,0.07438534351536799,24,GY
0.85,0.06804711103564273,25,GY
0.85,0.10660751703019834,26,GY
0.85,0.13002086243719396,27,GY
0.85,0.09513339785219133,28,GY
0.85,0.10629450109756007,29,GY
0.85,0.13577642694708453,30,GY
0.85,0.04286719811634547,31,GY
0.85,0.1255170017517629,32,GY
0.85,0.07569428142551712,33,GY
0.85,-0.0030158672348564023,34,GY
0.85,0.13736310880088182,35,GY
0.85,0.06095173906647869,36,GY
0.85,0.12779148055802464,37,GY
