sample,kendallTau,run,trait,n_plots
0.25,0.20480332152402822,1,OA,85
0.25,0.22460738705451885,2,OA,85
0.25,0.19289403815259487,3,OA,85
0.25,0.21322518714742725,4,OA,85
0.25,0.2576948671949172,5,OA,85
0.25,0.2685376131110938,6,OA,85
0.25,0.2798990141286935,7,OA,85
0.25,0.254213656079543,8,OA,85
0.25,0.18721169306000396,9,OA,85
0.25,0.194188245791212,10,OA,85
0.25,0.21393430161006266,11,OA,85
0.25,0.2451962231679921,12,OA,85
0.25,0.1721002568283544,13,OA,85
0.25,0.24409652008254154,14,OA,85
0.25,0.22792015281753952,15,OA,85
0.25,0.17397748317334477,16,OA,85
0.25,0.21304726855749845,17,OA,85
0.25,0.1778231237832094,18,OA,85
0.25,0.20442876059691414,19,OA,85
0.25,0.26759661308883276,20,OA,85
0.25,0.19851844240420624,21,OA,85
0.25,0.2158428770565814,22,OA,85
0.25,0.2773632758050955,23,OA,85
0.25,0.18813245553895858,24,OA,85
0.25,0.2454020135480819,25,OA,85
0.25,0.19183090268185515,26,OA,85
0.25,0.2528533920772419,27,OA,85
0.25,0.20377098030835097,28,OA,85
0.25,0.19493749715663067,29,OA,85
0.25,0.2528237221131725,30,OA,85
0.25,0.1971539005079882,31,OA,85
0.25,0.21400139897546175,32,OA,85
0.25,0.23769244440006512,33,OA,85
0.25,0.23959213513296984,34,OA,85
0.25,0.24383056123956948,35,OA,85
0.25,0.27213833562320083,36,OA,85
0.25,0.25457700242150344,37,OA,85
0.25,0.21216925875132503,38,OA,85
0.25,0.1985542346317718,39,OA,85
0.25,0.17985518224675168,40,OA,85
0.25,0.23087176088033673,41,OA,85
0.25,0.17608537254102313,42,OA,85
0.25,0.1826937412355358,43,OA,85
0.25,0.2587746163638755,44,OA,85
0.25,0.26049755980197575,45,OA,85
0.25,0.2050825420898146,46,OA,85
0.25,0.26720932144452264,47,OA,85
0.25,0.2756138850461357,48,OA,85
0.25,0.22011225688296782,49,OA,85
0.25,0.2599304024306097,50,OA,85
0.25,0.2672389124928308,51,OA,85
0.25,0.258334553162424,52,OA,85
0.25,0.20949888684569615,53,OA,85
0.25,0.23426395054117397,54,OA,85
0.25,0.20554536033948753,55,OA,85
0.25,0.27042312084829256,56,OA,85
0.25,0.20444234996886235,57,OA,85
0.25,0.26353027982835564,58,OA,85
0.25,0.1921629711905225,59,OA,85
0.25,0.2717760706481456,60,OA,85
0.25,0.27004711539920656,61,OA,85
0.25,0.26188022555881396,62,OA,85
0.25,0.26349348111054044,63,OA,85
0.25,0.19898542276628672,64,OA,85
0.25,0.1867298040037772,65,OA,85
0.25,0.15888816375641265,66,OA,85
0.25,0.25160079614603514,67,OA,85
0.25,0.2214685092251682,68,OA,85
0.25,0.24086961779797494,69,OA,85
0.25,0.2652398733189231,70,OA,85
0.25,0.17053062346762993,71,OA,85
0.25,0.19545024849213755,72,OA,85
0.25,0.19785153311983583,73,OA,85
0.25,0.21500515775792145,74,OA,85
0.25,0.2559645819770447,75,OA,85
0.25,0.2638654841859613,76,OA,85
0.25,0.20634737756513022,77,OA,85
0.25,0.2528533920772419,78,OA,85
0.25,0.2670115309201104,79,OA,85
0.25,0.24282083362415835,80,OA,85
0.25,0.25176827902610605,81,OA,85
0.25,0.2369228782184206,82,OA,85
0.25,0.1997512162493142,83,OA,85
0.25,0.21274973267345482,84,OA,85
0.25,0.2733758102681624,85,OA,85
0.25,0.2621663131128963,86,OA,85
