accession,accession_number,species,Region,Zone,District,x_original,y_original,lon,lat,Locality,year_of_characterization
5300,5300,Triticum durum,Oromiya,MISRAK SHEWA,GIMBICHU,"39E 0' 0""","9N 4' 0""",39,9.066667,"Woberi, 35km E of Addis Abeba",1982
5314,5314,Triticum durum,Oromiya,MISRAK SHEWA,ADA'A CHUKALA,"38E 52' 0""","8N 16' 0""",38.866667,8.266667,Koftu,1982
5430,5430,Triticum durum,Oromiya,MISRAK SHEWA,LOME,"39E 15' 0""","8N 47' 0""",39.25,8.783333,Ejere,1984
5503,5503,Triticum durum,Oromiya,MISRAK SHEWA,LOME,"39E 15' 0""","8N 47' 0""",39.25,8.783333,Ejere,1983
5588,5588,Triticum durum,Oromiya,SEMEN SHEWA,BEREHNA ALELTU,"39E 3' 0""","9N 1' 0""",39.05,9.016667,9km Chefe Donsa to Sendafa,1982
5611,5611,Triticum durum,Oromiya,SEMEN SHEWA,BEREHNA ALELTU,"39E 4' 0""","9N 3' 0""",39.066667,9.05,"Riba, S of Sendafa",1982
5622,5622,Triticum durum,Oromiya,MISRAK SHEWA,GIMBICHU,"39E 3' 0""","9N 1' 0""",39.05,9.016667,5km Chefe Donsa to Sendafa,1982
5634,5634,Triticum durum,Oromiya,SEMEN SHEWA,BEREHNA ALELTU,"39E 6' 0""","9N 2' 0""",39.1,9.033333,"Rogge, S of Hamus Gebeya",1983
5654,5654,Triticum durum,Oromiya,MISRAK SHEWA,ADA'A CHUKALA,"39E 15' 0""","9N 4' 0""",39.25,9.066667,"Filtinio, near koftu",1987
5663,5663,Triticum durum,Oromiya,MISRAK SHEWA,GIMBICHU,"39E 3' 0""","9N 1' 0""",39.05,9.016667,"EPID Site, Chefe Donsa",1985
5679,5679,Triticum durum,Oromiya,SEMEN SHEWA,MULONA SULULTA,"37E 29' 0""","10N 34' 0""",37.483333,10.566667,"Chancho, 66km Addis Abeba to Fiche",1983
5684,5684,Triticum durum,Oromiya,MISRAK SHEWA,ADA'A CHUKALA,"39E 6' 0""","8N 58' 0""",39.1,8.966667,"Goro Gabriel, Dekako",1983
